Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.291,208.1781167,173.888747,1.197191424,0.549812187,28715,190.1410973,0.763922518,0.988855999,0.958027126,0.913357755,0.007331506,0.003147289,0.834222388,0.998723889,SEKER
30917,640.765,213.5600894,184.4398709,1.157884618,0.504102365,31280,198.4055115,0.770805285,0.988395141,0.94625818,0.929038343,0.006907529,0.00317422,0.863112242,0.999384389,SEKER
31374,636.401,219.865394,182.0088637,1.207992784,0.56099452,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,0.007007885,0.002951884,0.826354229,0.998229946,SEKER
31821,649.681,213.7356452,189.9692019,1.125106823,0.458286561,32168,201.2852592,0.772354369,0.989212882,0.947378132,0.941748668,0.006716811,0.003258989,0.886890554,0.997846613,SEKER
32044,652.651,216.1471468,188.9705403,1.143813985,0.48544352,32395,201.9893264,0.778069153,0.989164995,0.945354229,0.934499156,0.006745324,0.003173206,0.873288673,0.998879798,SEKER
32258,654.808,220.8040301,186.2777558,1.185348348,0.536918908,32612,202.6626784,0.775805676,0.9891451,0.945408164,0.917839581,0.006844939,0.002996515,0.842429496,0.998572412,SEKER
32514,649.012,221.4454899,187.1344232,1.183349841,0.534673644,32843,203.4652564,0.7849831,0.989982645,0.970006874,0.918805149,0.006810774,0.002994125,0.844202902,0.99898737,SEKER
32713,660.043,215.4163208,193.4864621,1.113340533,0.43959156,33020,204.0869551,0.799516082,0.990702604,0.943595321,0.947407115,0.006585037,0.003272537,0.897580242,0.999312465,SEKER
32870,655.512,220.3581629,190.0206598,1.159653709,0.506352834,33198,204.5761077,0.781242573,0.990119887,0.961276389,0.928379984,0.00670393,0.003071937,0.861889394,0.999493233,SEKER
33013,652.684,223.7818539,188.0291423,1.190144523,0.542223823,33289,205.020626,0.789784689,0.991708973,0.973842946,0.916162872,0.006778598,0.002945848,0.839354409,0.998953052,SEKER
33159,653.801,222.4440287,189.98042,1.170878708,0.520175444,33415,205.4734778,0.788111423,0.99233877,0.974810341,0.923708669,0.006708406,0.003012584,0.853237706,0.999037863,SEKER
33325,674.433,223.8254842,189.7357064,1.179669807,0.530484185,33701,205.9871545,0.798969072,0.988843061,0.920666621,0.920302508,0.006716444,0.00297195,0.846956707,0.999129255,SEKER
33429,658.605,229.4460905,185.6980934,1.235586679,0.587351259,33713,206.3083245,0.791743641,0.99157595,0.968463377,0.899158159,0.006863684,0.00276746,0.808485396,0.998953785,SEKER
33539,662.418,223.6835362,191.2006021,1.169889288,0.518987648,33915,206.6474802,0.76426488,0.98891346,0.96049636,0.923838579,0.006669356,0.002996733,0.85347772,0.998474442,SEKER
33639,663.03,224.6629064,190.8531005,1.177150939,0.52757456,33919,206.9553214,0.78625187,0.99174504,0.961582569,0.921181537,0.006678644,0.002966531,0.848575424,0.998901357,SEKER
33858,664.46,234.3350014,184.1392916,1.27259641,0.618486935,34142,207.6278992,0.781254326,0.9916818,0.963681409,0.886030247,0.006921112,0.002631175,0.785049599,0.999051301,SEKER
33969,666.389,222.3618326,194.7690372,1.141669311,0.482473841,34260,207.9679641,0.764705882,0.99150613,0.961251403,0.935268259,0.006546022,0.003089598,0.874726717,0.998648649,SEKER
34082,668.346,230.626947,188.3912829,1.22419118,0.576827653,34364,208.3135861,0.801740767,0.991793738,0.958809282,0.903249117,0.006766826,0.002778401,0.815858967,0.998767351,SEKER
34207,668.737,228.0324687,191.4154535,1.191296024,0.543480298,34515,208.6952446,0.757730817,0.991076344,0.961200851,0.91519969,0.006666252,0.002884861,0.837590472,0.997818199,SEKER
34291,671.507,230.658067,189.6239312,1.216397453,0.569343533,34619,208.9513274,0.78204251,0.990525434,0.955628131,0.905892129,0.00672649,0.002794308,0.820640549,0.998225074,SEKER
34397,678.85,229.7747022,190.931594,1.20343992,0.556345118,34776,209.2740324,0.772202766,0.989101679,0.937956691,0.910779256,0.00668008,0.002835397,0.829518854,0.998276103,SEKER
34461,675.775,246.7254393,178.1577837,1.384870389,0.691799925,34691,209.4686324,0.770181477,0.993370038,0.948273245,0.84899487,0.007159555,0.00229449,0.72079229,0.998203899,SEKER
34532,689.551,217.0221026,202.7149085,1.070577908,0.357077019,35057,209.6843055,0.768333927,0.985024389,0.912638553,0.966188711,0.006284666,0.00337839,0.933520624,0.999406557,SEKER
34631,670.02,229.3367837,192.4014026,1.191970436,0.544213158,34953,209.9846629,0.760686201,0.990787629,0.969391848,0.915617022,0.006622297,0.002871071,0.838354531,0.999293816,SEKER
34729,671.193,228.8102714,193.6576351,1.181519496,0.532598937,35043,210.281564,0.777143752,0.99103958,0.968740162,0.919021523,0.00658845,0.002899117,0.844600559,0.997912027,SEKER
34774,677.726,228.5222155,193.96029,1.178190729,0.528779858,35139,210.4177557,0.780561167,0.989612681,0.951384824,0.920775931,0.00657164,0.002913865,0.847828315,0.998903461,SEKER
34865,680,224.8250921,197.677632,1.137331977,0.476359223,35256,210.6928967,0.793179543,0.988909689,0.947505431,0.937141378,0.006448447,0.003068,0.878233963,0.99884357,SEKER
34912,676.03,230.3106061,193.1139792,1.192614885,0.544911378,35245,210.8348619,0.774376719,0.990551851,0.959958935,0.91543705,0.006596889,0.002857807,0.838024993,0.999441081,SEKER
34980,675.203,233.0086827,191.3427601,1.217755417,0.570665001,35276,211.0400893,0.785290948,0.991609026,0.96418627,0.905717705,0.006661197,0.002765053,0.820324561,0.998954677,SEKER
35081,677.561,234.7952752,190.5792388,1.232008674,0.58409876,35395,211.3445445,0.76844388,0.99112869,0.960251575,0.900122646,0.006692947,0.002710216,0.810220779,0.998199027,SEKER
35122,679.818,231.7962315,193.1433259,1.200125505,0.552902155,35481,211.4680101,0.784393425,0.989881909,0.955000906,0.912301329,0.006599745,0.002820072,0.832293715,0.998856915,SEKER
35175,706.545,226.7972341,197.6791575,1.14729968,0.490196672,35707,211.6275053,0.773552956,0.985100961,0.885450557,0.933113255,0.006447683,0.003015233,0.870700346,0.998954228,SEKER
35272,682.696,232.1302308,193.5975477,1.199034975,0.551758353,35619,211.9191007,0.779922609,0.990258008,0.951010328,0.912931934,0.006581147,0.002819908,0.833444717,0.999329366,SEKER
